FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
299,2015-07-16,EV,CLE,STL,487,0.0,,False,False,False,False,False
300,2015-07-21,WN,STL,SEA,1709,20.0,,False,False,False,False,False
301,2015-09-21,OO,SLC,SNA,588,0.0,,False,False,False,False,False
302,2015-08-09,DL,JAN,ATL,341,0.0,,False,False,False,False,False
303,2015-08-03,MQ,SGF,DFW,364,0.0,,False,False,False,False,False
304,2015-08-15,NK,LAX,ORD,1744,75.0,,True,False,False,True,True
305,2015-04-06,US,BDL,CLT,644,17.0,,True,False,False,False,False
306,2015-09-25,WN,DEN,MKE,896,0.0,,False,False,False,False,False
307,2015-05-14,DL,MSY,ATL,425,0.0,,False,False,False,False,False
308,2015-03-26,DL,ATL,FNT,645,0.0,,False,False,False,False,False
309,2015-02-06,EV,EWR,IND,645,249.0,,True,False,False,True,True
310,2015-06-29,UA,LAX,OGG,2486,229.0,,False,False,False,True,False
311,2015-11-08,F9,PHX,DEN,602,0.0,,False,False,False,False,False
312,2015-07-05,OO,BRD,MSP,114,31.0,,True,False,False,False,False
313,2015-01-12,US,OMA,PHX,1037,10.0,,False,False,False,False,False
314,2015-01-15,DL,PHL,ATL,666,0.0,,False,False,False,False,False
315,2015-06-12,DL,RDU,ATL,356,0.0,,False,False,False,False,False
316,2015-11-22,AS,ANC,OTZ,548,0.0,,False,False,False,False,False
317,2015-02-07,WN,LAS,STL,1371,1.0,,False,False,False,False,False
318,2015-04-03,MQ,ORD,MDT,594,0.0,,False,False,False,False,False
319,2015-04-12,EV,ATL,CSG,83,0.0,,False,False,False,False,False
320,2015-09-21,MQ,DFW,HOU,247,0.0,,False,False,False,False,False
321,2015-12-26,AA,JFK,PHX,2153,0.0,,False,False,False,False,False
322,2015-06-24,US,LAS,PHX,255,0.0,,False,False,False,False,False
323,2015-01-02,DL,PHX,JFK,2153,158.0,,True,True,False,False,False
324,2015-06-06,OO,COD,DEN,391,0.0,,False,False,False,False,False
325,2015-01-12,WN,SJC,LAX,308,14.0,,False,False,False,False,False
326,2015-05-11,AS,SIT,KTN,183,0.0,,False,False,False,False,False
327,2015-04-16,DL,RSW,ATL,515,6.0,,False,False,False,False,False
328,2015-08-03,UA,IAD,LAX,2288,0.0,,False,False,False,False,False
329,2015-04-30,AA,MSY,MIA,675,0.0,,False,False,False,False,False
330,2015-09-27,WN,IND,LAS,1590,10.0,,False,False,False,False,False
331,2015-02-10,AA,MIA,LGA,1096,1.0,,False,False,False,False,False
332,2015-02-13,EV,FAR,ORD,557,281.0,,False,False,False,False,True
333,2015-04-24,DL,SEA,DTW,1927,0.0,,False,False,False,False,False
334,2015-08-27,WN,OAK,LAS,407,20.0,,True,False,False,False,False
335,2015-06-23,AA,CLT,ORD,599,1.0,,False,False,False,False,False
336,2015-09-06,AA,PHL,PHX,2075,0.0,,False,False,False,False,False
337,2015-02-07,AA,DFW,BWI,1217,0.0,,False,False,False,False,False
338,2015-12-11,DL,SFO,LAX,337,2.0,,False,False,False,False,False
339,2015-09-28,WN,AUS,DEN,775,2.0,,False,False,False,False,False
